Timestamp;jenis kelamin;  Saat ini Anda sedang menempuh semester berapa?  ;  Saat ini Anda sedang menempuh semester berapa?  ;Rata-rata berapa cangkir kopi yang Anda konsumsi per hari pada hari kuliah? ;Kapan biasanya Anda paling banyak mengonsumsi kopi? ;Apa alasan utama Anda minum kopi? (Boleh memilih lebih dari satu);Secara umum, berapa jam rata-rata waktu yang Anda habiskan untuk belajar mandiri atau mengerjakan tugas per hari?;" ""Kopi membantu saya untuk belajar dengan durasi yang lebih lama dari biasanya.""";Saya menjadi lebih mudah berkonsentrasi saat mempelajari materi kuliah.;Saya merasa lebih waspada secara mental dan tidak mudah mengantuk.;Saya merasa lebih produktif dan cepat dalam menyelesaikan tugas-tugas akademik.;Saya merasa nilai ujian atau kualitas tugas saya menjadi lebih baik.;Efek samping apa saja yang sering Anda rasakan setelah atau akibat mengonsumsi kopi? (Boleh memilih lebih dari satu, KECUALI jika Anda memilih opsi terakhir);"  A. ""Jika saya tidak minum kopi dalam sehari, saya menjadi sulit untuk fokus belajar.""  ";"B. ""Konsumsi kopi yang saya lakukan membuat kualitas tidur saya memburuk."" "
06/01/2026 18:13;laki laki;Semester 1-2;Semester 1-3;1 cangkir;Siang hari;Menambah energi / produktivitas akademik, Kebiasaan pribadi / aktivitas sosial (nongkrong);< 2 jam;3;3;4;3;3;Gangguan tidur / sulit tidur malam, Gangguan pencernaan / sakit perut / asam lambung naik;3;3
06/01/2026 20:35;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Siang hari;Meningkatkan fokus dan konsentrasi belajar;2-4 jam;3;3;3;3;3;Jantung berdebar-debar (palpitasi), Perasaan gelisah, cemas, atau gugup, Gangguan pencernaan / sakit perut / asam lambung naik;2;2
06/02/2026 08:32;laki laki;Semester 1-2;Semester 1-3;0 cangkir;Malam hari (Setelah jam 18.00);Gak Minum;< 2 jam;3;3;3;3;3;Saya tidak pernah merasakan efek negatif apa pun;3;3
06/02/2026 09:40;laki laki;Semester 1-2;Semester 1-3;0 cangkir;Malam hari (Setelah jam 18.00);tidak minum kopi;< 2 jam;3;2;3;2;3;Gangguan tidur / sulit tidur malam;1;5
06/02/2026 13:14;laki laki;Semester 3-4;Semester 3-5;0 cangkir;Malam hari (Setelah jam 18.00);Meningkatkan fokus dan konsentrasi belajar, Menambah energi / produktivitas akademik;2-4 jam;4;4;4;4;3;Gangguan tidur / sulit tidur malam, Gangguan pencernaan / sakit perut / asam lambung naik;3;3
06/02/2026 15:15;laki laki;Semester 1-2;Semester 1-3;1 cangkir;Malam hari (Setelah jam 18.00);Just if may friends take me to the cafe that it's only for coffee but from my opinion I don't like it.;5-7 jam;1;3;1;3;4;Gangguan pencernaan / sakit perut / asam lambung naik;1;2
06/02/2026 15:21;perempuan;Semester 1-2;Semester 1-3;1 cangkir;Siang hari;Meningkatkan fokus dan konsentrasi belajar, Kebiasaan pribadi / aktivitas sosial (nongkrong);< 2 jam;4;3;3;3;3;Tidak merasakan efek negatif apa pun;2;2
06/02/2026 18:48;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Malam hari (Setelah jam 18.00);saya tidak meminum kopi;2-4 jam;2;2;2;1;2;Saya tidak pernah merasakan efek negatif apa pun;1;3
06/02/2026 19:03;laki laki;Semester 3-4;Semester 3-5;1 cangkir;Siang hari;Agar tetap terjaga / menahan kantuk;5-7 jam;5;4;5;5;5;Jantung berdebar-debar (palpitasi);1;1
06/03/2026 13:49;perempuan;Semester 1-2;Semester 1-3;1 cangkir;Siang hari;Meningkatkan fokus dan konsentrasi belajar;2-4 jam;2;3;3;3;3;Gangguan pencernaan / sakit perut / asam lambung naik;3;3
06/03/2026 19:22;laki laki;Semester 3-4;Semester 3-5;2 cangkir;Malam hari (Setelah jam 18.00);Agar tetap terjaga / menahan kantuk, Meningkatkan fokus dan konsentrasi belajar;2-4 jam;4;3;5;4;2;"Jantung berdebar-debar (palpitasi), Perasaan gelisah, cemas, atau gugup, ""Caffeine crash"" (tiba-tiba merasa sangat lelah/lemas saat efek kopi habis)";3;1
06/03/2026 19:46;laki laki;Semester 3-4;Semester 3-5;1 cangkir;Siang hari;Agar tetap terjaga / menahan kantuk;2-4 jam;5;5;5;3;3;Jantung berdebar-debar (palpitasi);1;1
